"HARD_CORAL","human50km"
29.4,109336
28.8,11991
50.6,11991
73.8,1291
38.1,996476
14.4,418443
42.5,6459
15.6,111179
8.1,112419
7.5,441
59.1,14938
26.9,14938
25.9,14938
51.3,111179
18.1,14612
17.5,2579953
10.6,14192
41.9,785316
61.3,344349
18.1,12276
61.9,540660
33.1,540660
50.6,333567
30.6,472262
16.3,465457
70.6,405587
59.4,408067
24.4,37691
35.9,340822
13.8,91333
33.8,280684
27.5,792
25,110689
8.8,866
48.1,217586
51.9,23494
25.6,30877
52.5,4349
67.5,16513
75.6,17071
55,23117
50.6,23724
27.5,2437100
33.4,31177
62.5,759547
41.3,47075
20,181551
17.2,88653
43.1,110345
36.9,0
29.4,8178
47.2,1176616
25,2620
8.8,113191
44.1,15099
51.3,866
13.8,866
23.1,2794
71.3,366616
36.3,441
10,384518
41.3,424458
7.5,8650
18.8,8650
67.5,8650
37.2,8650
22.5,8650
31.3,9324
48.8,9324
16.9,1409020
9.4,2525720
51.9,356765
64.4,31096
30.9,2441434
13.1,22009
54.4,238782
56.9,280661
65.6,291595
36.9,5846
35.6,14612
28.1,2382674
30,55382
46.3,2427
44.4,2434
66.9,2395
23.8,15146
61.9,15511
37.8,15424
43.1,15965
3.1,112419
6.3,17411
38.1,2442867
36.6,1166464
60.6,14233
29.4,2316867
24.1,1522013
1.3,441
5,14760
6.9,14760
9.4,14760
6.3,14760
23.1,111698
9.8,7365
17.3,1461
16.8,5701
5.2,17002
12.6,9204
8.8,1461
34.2,509260
32.9,535004
40.7,234153
38.4,234135
42.9,41772
36.5,559378
9.4,669663
66.3,467455
72.5,458535
76.9,459922
10,733211
23.8,463617
46.3,86308
15,846377
16.3,468049
18.8,578732
41.9,563721
5.6,366313
25.6,1293
11.3,419367
44.4,1186903
20.6,1196899
15.6,859352
36.9,926
8.8,8650
42.5,13565
44.4,0
46.9,79201
35,0
43.4,743017
36.3,1223
14.4,4066
29.4,152158
61.9,556392
23.1,103015
43.1,294
21.9,0
20,0
19.4,52446
41.3,1703082
38.1,1703082
7.2,3054043
4.4,741200
30,727556
22.5,5465
16.9,359866
5,494504
4.4,454153
18.1,377415
40,424153
0.6,0
26.3,0
31.6,437323
36.9,290091
66.9,249165
18.8,28584
23.8,57087
30,378127
9.4,24148
39.4,24148
5.6,7165
41.3,761216
13.8,740467
35,733591
32.5,1881
26.9,409623
11.3,403499
8.1,673468
59.4,458230
46.6,458230
54.7,458230
52.8,458230
45.6,8650
45.3,8650
5.6,154427
6.9,154427
15,2047
12.5,45246
29.4,45246
23.8,507733
18.1,504438
13.1,499516
28.8,5988
34.4,0
46.9,1932
53.8,11015
4.4,667857
57.5,908085
66.9,908085
35.6,13999
8.1,508265
31.9,11190
45.3,154095
35.3,154095
10.3,154095
48.8,6
53.8,4795
9.4,396203
26.3,340927
16.9,382086
38.8,1464361
8.8,3109058
10,354118
14.4,1579596
20,494173
30,1193459
10,335751
2.8,3073219
5.6,907955
14.4,3066659
10.6,3055230
30.6,1996530
76.3,10270
29.4,864
7.8,3049595
40.6,1414126
50,0
38.8,1175981
25,11357
41.3,7145
8.4,3053452
47.2,2022077
55,0
39.4,13016
34,9946
10,468049
46.9,458230
41.3,1381973
14.4,3056107
33.8,11685340
